0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:18:55 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 9279
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:18:55 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:18:55 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:18:56 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:18:56 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:18:56 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:18:56 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:18:56 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:20:56 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:20:56 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:20:56 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:21:02 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:21:02 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:24:30 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:24:30 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:24:30 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:24:31 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:24:31 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:26:07 +0530] "GET /ShoppingCart/home.jsp HTTP/1.1" 200 8474
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:26:07 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:26:07 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:26:08 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:26:56 +0530] "GET /ShoppingCart/home.jsp HTTP/1.1" 200 8482
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:26:57 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
